id,afip_code,name,document_letter_id/id,report_name,document_type,doc_code_prefix
dc_sp_nd,86,NOTA DE DEBITO   SERVICIOS PUBLICOS,,,,
dc_oc_se,87,OTROS COMPROBANTES - SERVICIOS DEL EXTERIOR,,,,
dc_oc_c,88,"OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS / REMITO ELECTRONICO,",,,,
dc_oc_nd,89,OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE DEBITO / RESUMEN DE DATOS,,,,
dc_oc_nc,90,OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE CREDITO,,,,
dc_r_r,91,REMITOS R,,,,
dc_ac_inc_df,92,AJUSTES CONTABLES QUE INCREMENTAN EL DEBITO FISCAL,,,,
dc_ac_dis_df,93,AJUSTES CONTABLES QUE DISMINUYEN EL DEBITO FISCAL,,,,
dc_ac_inc_cf,94,AJUSTES CONTABLES QUE INCREMENTAN EL CREDITO FISCAL,,,,
dc_ac_dis_cf,95,AJUSTES CONTABLES QUE DISMINUYEN EL CREDITO FISCAL,,,,
dc_f1116b,96,FORMULARIO 1116 B,,,,
dc_f1116c,97,FORMULARIO 1116 C,,,,
dc_oc_ncrg3419,99,OTROS COMP  QUE NO CUMPLEN CON LA R G  3419 Y SUS MODIF,,,in_document,
dc_aa_dj_pos,101,AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  POSITIVO,,,,
dc_aa_dj_neg,102,AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  NEGATIVO,,,,
dc_na,103,NOTA DE ASIGNACION,,,,
dc_nca,104,NOTA DE CREDITO DE ASIGNACION,,,,
dc_recibo_x,,RECIBOS X,dl_x,RECIBO,,RE-X 
dc_remito_x,,REMITOS X,dl_x,REMITO,,RM-X 
dc_orden_pago_x,,ORDEN DE PAGO X,dl_x,ORDEN DE PAGO,,OP-X 
fa_exterior,,FACTURAS Y COMPROBANTES DEL EXTERIOR,dl_i,,invoice,FA-I
nc_exterior,,NOTAS DE CREDITO Y REEMBOLSOS DEL EXTERIOR,dl_i,,credit_note,NC-I
